Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Final Destination 3,2006,R,10 Feb 2006,93 min,"Horror, Thriller",James Wong,"Glen Morgan, James Wong, Jeffrey Reddick","Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche",Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.,English,"United States, Canada",6 nominations total,https://m.media-amazon.com/images/M/MV5BMzI3NzE0MmEtYmFjZC00NTJhLWI4OWUtNGRmNDEwNGU3NzM0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,5.9,"180,724",tt0414982,movie,,"$54,098,051",,,tt0414982,93.0,5.9,180724.0,43.0,2006
Kaal,2005,Not Rated,29 Apr 2005,126 min,"Adventure, Horror, Mystery",Soham Shah,Soham Shah,"Ajay Devgn, Vivek Oberoi, John Abraham","A tiger expert, his wife, two tourists and a village chief engage in a battle for survival against supernatural beasts within Jim Corbett National Wildlife Park.",Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BZmQyNmQ4MTgtMTUyYS00ZjE0LTk2ODItZTdjMDJkYmNjNDZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,4.7,"6,140",tt0415908,movie,,"$345,091",,,tt0415908,126.0,4.7,6140.0,,2005
The Spiderwick Chronicles,2008,PG,14 Feb 2008,96 min,"Action, Adventure, Drama",Mark Waters,"Karey Kirkpatrick, David Berenbaum, John Sayles","Freddie Highmore, Sarah Bolger, David Strathairn","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",English,United States,2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOWRiMmUzZTctYWUxNy00ZjkyLWE4NTctMzFlMTFkYmI5NmFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,6.5,"107,773",tt0416236,movie,,"$71,195,053",,,tt0416236,96.0,6.5,107773.0,62.0,2008
Chale Chalo: The Lunacy of Film Making,2003,,01 Jun 2004,150 min,Documentary,Satyajit Bhatkal,Vipin Bhati,"Ashutosh Gowariker, Aamir Khan, Gracy Singh","An account of the making of the Lagaan, by director Satyajit Bhatkal, who served as a production assistant on the film.","English, Hindi",India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BY2I3MjgzODAtMmI5YS00ODM3LWE0MmQtOGRmNGYxNmU0MjFiXkEyXkFqcGdeQXVyMzQwNTM3ODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",,8.4,443,tt0417528,movie,,,,,tt0417528,150.0,8.4,443.0,,2003
Phir Hera Pheri,2006,,09 Jun 2006,153 min,"Comedy, Crime",Neeraj Vora,Neeraj Vora,"Akshay Kumar, Suniel Shetty, Paresh Rawal","A twist of fate changes the lives of Raju, Shyam and Baburao when they get cheated by a fraudster. They must now find a way to repay a loan taken from a dreaded gangster.",Hindi,India,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTNkZTExMWYtMGZjMy00NGUwLWJmMWEtOThjYmZjY2Q0N2M5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"29,070",tt0419058,movie,,,,,tt0419058,153.0,7.3,29070.0,,2006
The Student Cop,2004,,08 Dec 2004,110 min,"Action, Comedy, Romance",Wael Ihsan,Belal Fadl,"Hassan Hosny, Ghadah Adel, Karim Abdel Aziz",The main themes in the movie are how money and lack of parental guidance can spoil and drive children to the dark side of the world. It also highlights the state of educational institutes these days that mainly concentrate on reve...,Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BMTk5OTYzNTI3Ml5BMl5BanBnXkFtZTgwMTgxODYxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,"2,656",tt0419482,movie,,,,,tt0419482,110.0,6.2,2656.0,,2004
The Texas Chainsaw Massacre: The Beginning,2006,R,06 Oct 2006,91 min,Horror,Jonathan Liebesman,"Sheldon Turner, David J. Schow","Jordana Brewster, Matt Bomer, Diora Baird","Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding...",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BZjBmZjYyMDktODIzZi00NDM3LWIxZDktYzkxZGJhNTk5MGEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,5.8,"80,765",tt0420294,movie,,"$39,517,763",,,tt0420294,91.0,5.8,80765.0,30.0,2006
Fida,2004,Not Rated,20 Aug 2004,122 min,"Action, Crime, Drama",Ken Ghosh,"Lalit Mahajan, Sunny Mahajan, Kiran Kotrial","Kareena Kapoor, Fardeen Khan, Shahid Kapoor","A young man is hellbent to destroy his arch enemy and his lover, who destroyed his life.",Hindi,India,5 nominations,https://m.media-amazon.com/images/M/MV5BMWIwOWZkZjYtMmZkMy00OTk1LTg4ZWMtNmE3YTJiYzA2NjU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,"2,922",tt0422236,movie,,"$98,297",,,tt0422236,122.0,5.4,2922.0,,2004
Palermo Hollywood,2004,,14 Oct 2004,113 min,Drama,Eduardo Pinto,"Federico Finkielstain, Brian Maya","Brian Maya, Matías Desiderio, Manuela Pal",Two petty criminal party boys get in over their heads when a kidnapping goes awry.,Spanish,Argentina,1 nomination,https://m.media-amazon.com/images/M/MV5BZTJhOThmNTQtYmZhYy00N2U0LWIxYTItNDgzYWIzODAwM2Q1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",,5.3,220,tt0422907,movie,,,,,tt0422907,113.0,5.3,220.0,,2004
Perazhagan,2004,Not Rated,12 Oct 2021,143 min,"Comedy, Drama, Romance",Sasi Shankar,"Sasi Shankar, Singampuli","Suriya, Jyotika, Vivek","Chinna, a hunchbacked phone booth operator, loves a blind street dancer and wants to help her regain her sight. Kartik, his lookalike, is a constable in love with the commissioner's daughter.",Tamil,India,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNGEyMjY4ZDQtNDBiMy00OGY1LTk2ZjAtZjExOTViM2RmMDA4XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,"1,671",tt0422934,movie,,,,,tt0422934,143.0,6.4,1671.0,,2004
Just Like Heaven,2005,PG-13,16 Sep 2005,95 min,"Comedy, Drama, Fantasy",Mark Waters,"Peter Tolan, Leslie Dixon, Marc Lévy","Reese Witherspoon, Mark Ruffalo, Donal Logue","A lonely architect finds an amazing apartment, only to discover it's haunted by the spirit of the previous tenant, an overachieving doctor.","English, Spanish, Mandarin",United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjQ5MDc1OWEtOTAzZS00OWE1LWE5MmMtMGRlMDExZTRhZTQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.7,"123,834",tt0425123,movie,,"$48,318,130",,,tt0425123,95.0,6.7,123834.0,47.0,2005
Trailer Park Boys: The Movie,2006,R,06 Oct 2006,95 min,"Comedy, Crime",Mike Clattenburg,"Mike Clattenburg, Robb Wells","Robb Wells, John Paul Tremblay, Mike Smith","Ricky, Julian, and Bubbles come up with a scheme to steal large amounts of untraceable coins.",English,"Canada, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5Mzg4MDM1M15BMl5BanBnXkFtZTcwNTk4MzkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,7.1,"14,002",tt0425601,movie,04 Feb 2014,"$3,860,678",,,tt0425601,95.0,7.1,14002.0,38.0,2006
Hairspray,2007,PG,20 Jul 2007,117 min,"Comedy, Drama, Musical",Adam Shankman,"Leslie Dixon, John Waters, Mark O'Donnell","John Travolta, Queen Latifah, Nikki Blonsky",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,English,"United States, United Kingdom, Canada",Nominated for 1 BAFTA Award21 wins & 45 nominations total,https://m.media-amazon.com/images/M/MV5BYzBiNjJhNmUtMjM0Yi00ZjZkLTliNzUtYWEyYmVkZTFhMmQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81.0,6.7,"144,241",tt0427327,movie,,"$118,946,291",,,tt0427327,117.0,6.7,144241.0,81.0,2007
Four Brothers,2005,R,01 Jul 2005,109 min,"Action, Crime, Drama",John Singleton,"David Elliot, Paul Lovett","Mark Wahlberg, Tyrese Gibson, André 3000","When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",English,United States,5 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4NzM3Njg2NV5BMl5BanBnXkFtZTcwNjU4NDczMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.8,"166,330",tt0430105,movie,22 Jun 2010,"$74,494,381",The Orchard,,tt0430105,109.0,6.8,166330.0,49.0,2005
The Giver,2014,PG-13,15 Aug 2014,97 min,"Drama, Romance, Sci-Fi",Phillip Noyce,"Michael Mitnick, Robert B. Weide, Lois Lowry","Brenton Thwaites, Jeff Bridges, Meryl Streep","In a seemingly perfect community without war, pain, suffering, differences, or choices, a young boy is chosen to learn from an elderly man, the true pain and pleasure of the real world.",English,"Canada, South Africa, United States",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1MTIxMjg2Ml5BMl5BanBnXkFtZTgwMjUyNzgwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47.0,6.4,"129,351",tt0435651,movie,,"$45,090,374",,,tt0435651,97.0,6.4,129351.0,47.0,2014
Friends with Money,2006,R,21 Apr 2006,88 min,"Comedy, Drama, Romance",Nicole Holofcener,Nicole Holofcener,"Jennifer Aniston, Frances McDormand, Catherine Keener","After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.","English, Spanish",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjE3Mjc3NjQ5NV5BMl5BanBnXkFtZTYwMjY5MjE3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,5.8,"32,384",tt0436331,movie,12 Sep 2006,"$13,368,437",,,tt0436331,88.0,5.8,32384.0,68.0,2006
Terminator Salvation,2009,PG-13,21 May 2009,115 min,"Action, Adventure, Sci-Fi",McG,"John Brancato, Michael Ferris","Christian Bale, Sam Worthington, Anton Yelchin","As the machines prepare for a final attack, John Connor and a mysterious stranger delve into the heart of Skynet and uncover a terrible secret involving the annihilation of mankind.","English, Italian",United States,2 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMWY1OWQ4ZWQtYzZkOS00ZTU0LWE3MDItOTg3YzdmODRkMDVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,6.5,"388,740",tt0438488,movie,,"$125,322,469",,,tt0438488,115.0,6.5,388740.0,49.0,2009
Initial D,2005,TV-PG,23 Jun 2005,107 min,"Action, Comedy, Drama","Wai Keung Lau, Alan Mak, Ralph Rieckermann","Shuichi Shigeno, Felix Chong","Jay Chou, Anthony Chau-Sang Wong, Edison Chen","After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.","Cantonese, English","China, Hong Kong",12 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BYTM2ZDRjNzQtM2VhYS00N2I3LWFkYTQtZDk3MjU5ZDEwMDRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.4,"10,271",tt0439630,movie,17 Jan 2006,,,,tt0439630,107.0,6.4,10271.0,48.0,2005
Trailer Park Boys: Xmas Special,2004,,12 Dec 2004,57 min,Comedy,Mike Clattenburg,Mike Clattenburg,"Cory Bowles, Lucy Decoutere, Barrie Dunn",It's Christmas 1997.,English,Canada,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjY5OTQ5NTk0Ml5BMl5BanBnXkFtZTcwNDkxOTkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"4,117",tt0439856,movie,19 Dec 2006,,,,tt0439856,57.0,8.0,4117.0,,2004
The Bourne Ultimatum,2007,PG-13,03 Aug 2007,115 min,"Action, Mystery, Thriller",Paul Greengrass,"Tony Gilroy, Scott Z. Burns, George Nolfi","Matt Damon, Edgar Ramírez, Joan Allen",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"English, Russian, French, Spanish, Arabic, Italian","United States, Germany, France, Spain",Won 3 Oscars. 29 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BYzE3ZGM4MzctZjU5MC00NWE2LTg5ZjYtMDFiM2ZlMWQ1MjkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85.0,8.0,"677,705",tt0440963,movie,,"$227,471,070",,,tt0440963,115.0,8.0,677705.0,85.0,2007
Fuga,2006,,27 Mar 2006,110 min,"Drama, Music, Thriller",Pablo Larraín,"Hernan Rodriguez Matte, Mateo Iribarren, Pablo Larraín","Benjamín Vicuña, Gastón Pauls, Francisca Imboden",A film about a classical composer who goes insane.,Spanish,"Argentina, Chile",5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNDA1OGQxMGUtMzc2My00NzExLTk1MTgtNmZiYWE5MDQ3ZjJjXkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"1,228",tt0442236,movie,,,,,tt0442236,110.0,6.3,1228.0,,2006
Zozo,2005,,02 Sep 2005,105 min,"Drama, Family, War",Josef Fares,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi",A Lebanese boy gets separated from his family during the civil war and ends up in Sweden.,"Arabic, Swedish","Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",6 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNzgwZWY4ODItMjQzZS00MmUxLTliYWUtMTg5YjBjOTAxNTUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"3,405",tt0448267,movie,,,,,tt0448267,105.0,6.5,3405.0,,2005
Puss in Boots,2011,PG,15 Nov 2011,90 min,"Animation, Action, Adventure",Chris Miller,"Tom Wheeler, Brian Lynch, William Davies","Antonio Banderas, Salma Hayek, Zach Galifianakis","An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.","English, Spanish",United States,Nominated for 1 Oscar. 9 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BOTQwMGU5YTEtYmQzMy00MTM0LWFhNzAtOGY2Yzc1MzBkYTYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,6.6,"207,030",tt0448694,movie,,"$149,260,504",,,tt0448694,90.0,6.6,207030.0,65.0,2011
Jodhaa Akbar,2008,Not Rated,15 Feb 2008,213 min,"Action, Drama, History",Ashutosh Gowariker,"Haidar Ali, Ashutosh Gowariker, K.P. Saxena","Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood","A sixteenth century love story about a marriage of alliance that gave birth to true love between a great Mughal emperor, Akbar, and a Rajput princess, Jodha.","Hindi, Urdu",India,38 wins & 35 nominations total,https://m.media-amazon.com/images/M/MV5BNzg5YWI5YjMtMjhmNi00MDQxLTlmNWUtM2IzOWMzMDNhOTMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69.0,7.5,"35,826",tt0449994,movie,,"$3,440,718",,,tt0449994,213.0,7.5,35826.0,69.0,2008
Kabhi Alvida Naa Kehna,2006,Not Rated,11 Aug 2006,193 min,"Drama, Romance",Karan Johar,"Karan Johar, Shibani Bathija, Niranjan Iyengar","Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan","Dev, a former football player is married to Rhea, a successful fashion editor. Maya is a kindergarten teacher who is married to Rishi, an outgoing event planner. These couples' lives intersect and they each question their own marr...","Hindi, English",India,15 wins & 40 nominations total,https://m.media-amazon.com/images/M/MV5BYmRkOWQ1NDItYTk2ZC00YWM2LWE4ZWEtNjIwNTczMmRmZjc3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",,6.1,"22,834",tt0449999,movie,,"$3,275,444",,,tt0449999,193.0,6.1,22834.0,,2006
Blood Diamond,2006,R,08 Dec 2006,143 min,"Adventure, Drama, Thriller",Edward Zwick,"Charles Leavitt, C. Gaby Mitchell","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","English, Mende, Afrikaans","United States, Germany, United Kingdom, South Africa, India",Nominated for 5 Oscars. 8 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BOGYzOGI0YTUtNTAwYy00M2JhLTgyODEtMjlhZTk1Yzc5ZTBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,8.0,"617,290",tt0450259,movie,,"$57,377,916",,,tt0450259,143.0,8.0,617290.0,64.0,2006
Apaharan,2005,Not Rated,02 Dec 2005,173 min,"Action, Crime, Drama",Prakash Jha,"Prakash Jha, Shridhar Raghavan, Manoj Tyagi","Ajay Devgn, Nana Patekar, Bipasha Basu","Story of a tumultuous and complex relationship between a father (Mohan Agashe) and son (Ajay Devgan), set against the backdrop of a thriving kidnapping industry in the Hindi heartland of Bihar.",Hindi,India,6 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BZGQxY2NhYzMtZWE3My00NTBlLWFhY2QtNDVhMjdiYTVjMTY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,"5,304",tt0451631,movie,,"$44,133",,,tt0451631,173.0,7.4,5304.0,,2005
Paheli,2005,Not Rated,24 Jun 2005,140 min,"Comedy, Drama, Fantasy",Amol Palekar,"Vijayadan Detha, Sandhya Gokhale, Amol Palekar","Shah Rukh Khan, Rani Mukerji, Anupam Kher",A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.,Hindi,India,5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BN2Y5YzliMDctZDNlYy00YmVmLWJhOGEtYTcyNGNlMTc0NGJkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",,6.4,"14,491",tt0451850,movie,,"$1,409,499",,,tt0451850,140.0,6.4,14491.0,,2005
Good Luck Chuck,2007,R,21 Sep 2007,96 min,"Comedy, Romance",Mark Helfrich,"Josh Stolberg, Steve Glenn","Dane Cook, Jessica Alba, Dan Fogler","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true l...",English,"United States, Canada",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTU1NzM1MTE1OV5BMl5BanBnXkFtZTYwNDQyMjU3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19.0,5.6,"97,427",tt0452625,movie,,"$35,017,297",,,tt0452625,96.0,5.6,97427.0,19.0,2007
TMNT,2007,PG,23 Mar 2007,87 min,"Animation, Action, Adventure",Kevin Munroe,"Kevin Munroe, Peter Laird, Kevin Eastman","Patrick Stewart, Mako, Chris Evans","When the world is threatened by an ancient evil, the Ninja Turtles must reunite and overcome their faults in order to stand against it.",English,"Hong Kong, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1MzcwNTE5OV5BMl5BanBnXkFtZTcwMTIxNzQ0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.2,"71,236",tt0453556,movie,,"$54,149,098",,,tt0453556,87.0,6.2,71236.0,41.0,2007
42,2013,PG-13,12 Apr 2013,128 min,"Biography, Drama, Sport",Brian Helgeland,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford","In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.",English,United States,3 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,7.5,"106,903",tt0453562,movie,,"$95,059,709",,,tt0453562,128.0,7.5,106903.0,62.0,2013
Waist Deep,2006,R,23 Jun 2006,97 min,"Action, Crime, Drama",Vondie Curtis-Hall,"Vondie Curtis-Hall, Darin Scott, Michael Mahern","Tyrese Gibson, Meagan Good, Larenz Tate",An ex-convict (Tyrese) gets tangled up with a gang after his car is hijacked with his son inside.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BODQ3OTkxNTgyN15BMl5BanBnXkFtZTcwMjA0ODQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,5.8,"10,650",tt0456020,movie,,"$21,344,312",,,tt0456020,97.0,5.8,10650.0,37.0,2006
Kyaa Kool Hai Hum,2005,Unrated,06 May 2005,172 min,"Comedy, Mystery",Sangeeth Sivan,"Sachin Yardi, Pankaj Trivedi","Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar",Karan and Rahul are fashion designers and surives on food of others functions. But some twists and confusion changes their life.,Hindi,India,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjA4MzM3ODE5MF5BMl5BanBnXkFtZTgwMzI1MDA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,"3,997",tt0456500,movie,,,,,tt0456500,172.0,6.1,3997.0,,2005
The Blue Umbrella,2005,,10 Aug 2007,90 min,"Comedy, Drama, Family",Vishal Bhardwaj,"Ruskin Bond, Minty Kunwar Tejpal, Abhishek Chaubey","Pankaj Kapur, Shreya Sharma, Deepak Dobriyal","In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.",Hindi,India,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNmY0YmZiMDgtNGNhMi00Yjg2LThhYjQtYmE5YjI0ZTllYTA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"2,235",tt0457802,movie,,,,,tt0457802,90.0,7.3,2235.0,,2005
#DUPE#,2006,,,,,,,,,,,,,[],,,,tt0405508,movie,,,,,tt0460895,,,,,2006
Don,2006,Not Rated,20 Oct 2006,171 min,"Action, Crime, Thriller",Farhan Akhtar,"Salim Khan, Javed Akhtar, Farhan Akhtar","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal","Vijay is recruited by a police officer to masquerade as his lookalike Don, the leader of an international gang of smugglers. Things go wrong when the officer is killed and Vijay is left to fend for himself.",Hindi,India,3 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYjBmOTg2NTgtZTc2Mi00ZWRhLTkzMWQtMDI0YThhZTcyMzYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"42,882",tt0461936,movie,,"$2,223,961",,,tt0461936,171.0,7.2,42882.0,,2006
Rambo,2008,R,25 Jan 2008,92 min,"Action, Thriller",Sylvester Stallone,"Art Monterastelli, Sylvester Stallone, David Morrell","Sylvester Stallone, Julie Benz, Matthew Marsden","In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.","English, Burmese, Thai","Germany, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI5Mjg1MzM4NF5BMl5BanBnXkFtZTcwNTAyNzUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,7.0,"253,425",tt0462499,movie,,"$42,754,105",,,tt0462499,92.0,7.0,253425.0,46.0,2008
