Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
In the Line of Fire,1993,R,09 Jul 1993,128 min,"Action, Crime, Drama",Wolfgang Petersen,Jeff Maguire,"Clint Eastwood, John Malkovich, Rene Russo","Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",English,United States,Nominated for 3 Oscars. 2 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BYmNiNjNjYmQtZTQzNC00M2I1LThiMDgtNWNmM2VjY2Y3NzQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.2,"120,053",tt0107206,movie,N/A,"$102,314,823",N/A,N/A,tt0107206
Last Action Hero,1993,PG-13,18 Jun 1993,130 min,"Action, Adventure, Comedy",John McTiernan,"Zak Penn, Adam Leff, Shane Black","Arnold Schwarzenegger, F. Murray Abraham, Art Carney","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",English,United States,1 win & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZGU2NWQyY2ItY2JiZS00ZDJhLWI0NDQtNjMyNWU3MDA1NTgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.5,"171,378",tt0107362,movie,N/A,"$50,016,394",N/A,N/A,tt0107362
Menace II Society,1993,R,26 May 1993,97 min,"Crime, Drama, Thriller","Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes, Tyger Williams","Tyrin Turner, Larenz Tate, June Kyoto Lu","This urban nightmare chronicles several days after the graduation of young street hustler as he attempts to escape the rigors and temptations of the Watts, California ghetto in search of a better life.",English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMzQ1MTNhZWEtM2FmZS00ZjkzLWJhZWEtNzA5ZDllZmYzNjQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.5,"68,471",tt0107554,movie,N/A,"$27,912,072",N/A,N/A,tt0107554
Sankofa,1993,N/A,28 May 1993,125 min,Drama,Haile Gerima,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...","Akan, English","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1 nomination,https://m.media-amazon.com/images/M/MV5BYWVlYjZlYmQtMmEyNC00NjM3LWI3ZGUtY2E0N2M2OTYyYzA2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,7.0,857,tt0108041,movie,N/A,"$2,198,984",N/A,N/A,tt0108041
Wild Tango,1993,R,21 Mar 1997,124 min,"Biography, Drama, Music",Marcelo Piñeyro,"Aída Bortnik, Marcelo Piñeyro","Fernán Mirás, Cecilia Dopazo, Imanol Arias","A biopic based on the life of one of the pioneer argentine rock stars 'Tanguito'. The movie tells the story of his rise and fall from grace, encompassed in violent times of a military regime.",Spanish,"Argentina, Spain",3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZjFiZjllMjktZWIwNS00NWY3LTgxYTYtZjhkMWJkYTI5Nzg0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,785",tt0108291,movie,N/A,N/A,N/A,N/A,tt0108291
Teenage Mutant Ninja Turtles III,1993,PG,19 Mar 1993,96 min,"Action, Adventure, Comedy",Stuart Gillard,"Kevin Eastman, Peter Laird, Stuart Gillard","Elias Koteas, Paige Turco, Stuart Wilson","When journalist April O'Neil discovers an ancient scepter with magical powers, the Turtles must cow-a-bunga their way back to 17th century Japan to rescue her from the evil clutches of Lord Norinaga.",English,"United States, Hong Kong, Japan, China",1 win total,https://m.media-amazon.com/images/M/MV5BNjEwMWNkNjctNzY5Mi00MzgyLTg2ZDMtMTY5MWRjNzEyMjdiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,4.8,"37,789",tt0108308,movie,N/A,"$42,273,609",N/A,N/A,tt0108308
Anjaam,1994,Not Rated,22 Apr 1994,170 min,"Crime, Drama, Thriller",Rahul Rawail,"Sutanu Gupta, Rumi Jaffery, Gautam Rajadhyaksha","Madhuri Dixit, Shah Rukh Khan, Tinnu Anand",Vijay falls in love Shivani and proposes her only to be rejected every time. However his love turns into an obsession and turns her life into a hell.,Hindi,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNjI2MjYxM2ItNWJiYi00NGFiLWIyMDQtYmY4YWNhYTFlYjg4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"7,387",tt0109134,movie,N/A,N/A,N/A,N/A,tt0109134
Forrest Gump,1994,PG-13,06 Jul 1994,142 min,"Drama, Romance",Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks, Robin Wright, Gary Sinise","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",English,United States,Won 6 Oscars. 51 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.8,"2,432,360",tt0109830,movie,N/A,"$330,455,270",N/A,N/A,tt0109830
Hum Aapke Hain Koun..!,1994,TV-14,05 Aug 1994,206 min,"Comedy, Drama, Musical",Sooraj R. Barjatya,Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Mohnish Behl","Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",Hindi,India,10 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BOWFmZDQ5N2EtZDIzZC00NDRlLTkwNjktN2Q5NDQ2YjE5MDQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"23,833",tt0110076,movie,N/A,N/A,N/A,N/A,tt0110076
Kabhi Haan Kabhi Naa,1994,N/A,25 Feb 1994,158 min,"Comedy, Drama, Music",Kundan Shah,"Pankaj Advani, Ranjit Kapoor, Kundan Shah","Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori",A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.,"Hindi, English",India,2 wins,https://m.media-amazon.com/images/M/MV5BODU1MDU3MTYtYTAwMi00MmNmLWFkMWYtNmY1NzRhYTA3ZWI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"19,629",tt0110222,movie,N/A,N/A,N/A,N/A,tt0110222
Little Women,1994,PG,25 Dec 1994,115 min,"Drama, Family, Romance",Gillian Armstrong,"Louisa May Alcott, Robin Swicord","Susan Sarandon, Winona Ryder, Kirsten Dunst","Jo struggles for independence and sometimes clashes with her beloved mother and sisters Meg, Amy and Beth. She also contends with their cranky Aunt March, their impulsive neighbor Laurie and kindly linguistics professor Friedrich ...","English, German, French",United States,Nominated for 3 Oscars. 6 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BNjk0MGY3Y2ItMDQzMy00MGNlLThmOWMtNzE3N2ZhMTQ2YTkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.3,"66,483",tt0110367,movie,26 Feb 2008,"$50,083,616",N/A,N/A,tt0110367
Al-mohager,1994,N/A,26 Sep 1994,129 min,Drama,Youssef Chahine,"Youssef Chahine, Rafik El-Sabban, Khaled Youssef","Youssra, Khaled Nabawy, Mahmoud Hemida",Ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic Egypt mired in political intrigue. Based on a biblical story.,Arabic,"Egypt, France",4 wins total,https://m.media-amazon.com/images/M/MV5BOGY0MzJhYmMtN2FiYS00NzEwLWFiM2MtZjk2YjY3NDdjZTFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,176",tt0110545,movie,N/A,N/A,N/A,N/A,tt0110545
The Next Karate Kid,1994,PG,09 Sep 1994,107 min,"Action, Drama, Family",Christopher Cain,"Robert Mark Kamen, Mark Lee","Pat Morita, Hilary Swank, Michael Ironside",Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl.,"English, Japanese",United States,1 win total,https://m.media-amazon.com/images/M/MV5BY2FhMzYzZjMtOGFhZS00OWQxLWI2Y2ItMWYyZjJiNjE4YWRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,4.6,"36,942",tt0110657,movie,N/A,"$8,914,777",N/A,N/A,tt0110657
Yaar Gaddar,1994,N/A,04 Nov 1994,155 min,"Action, Drama, Mystery",Umesh Mehra,N/A,"Saif Ali Khan, Sweta, Somy Ali","When his brother becomes involved in a deadly bank robbery, a heartbroken cop vows to track down and retrieve his wayward sibling -- dead or alive.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTcyNjAwNjkwNl5BMl5BanBnXkFtZTgwOTIyMzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,220,tt0111780,movie,N/A,N/A,N/A,N/A,tt0111780
Bombay,1995,Not Rated,10 Mar 1995,130 min,"Drama, Romance",Mani Ratnam,"Mani Ratnam, Umesh Sharma","Arvind Swamy, Manisha Koirala, Nassar","A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",Tamil,India,13 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNzkxOGRiMTItMjAyMC00NjRhLWJjODktNWY5YzQwNDYyZmViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"14,020",tt0112553,movie,N/A,N/A,N/A,N/A,tt0112553
Desperado,1995,R,25 Aug 1995,104 min,"Action, Crime, Drama",Robert Rodriguez,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,"English, Spanish","United States, Mexico",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BN2IzOThmNTMtODE4My00NTI1LThkOWMtNTA4MTc4NWI1NTNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.1,"205,163",tt0112851,movie,N/A,"$25,405,445",N/A,N/A,tt0112851
Dushmani: A Violent Love Story,1995,Not Rated,24 Apr 1995,156 min,"Action, Drama, Romance","Bunty Soorma, Shekhar Kapur, Sanjay Khanna",Karan Razdan,"Sunny Deol, Jackie Shroff, Manisha Koirala","In order to settle personal scores; two gang leaders, Jai Singh and Oberoi fight for many years in gang-wars. There enmity multiplies when Jai's younger brother, Suraj falls in love with Oberoi's sister, Sapna which forces Suraj a...","Hindi, Urdu",India,N/A,https://m.media-amazon.com/images/M/MV5BMGY1MTA4NTQtMWU4Yy00ZWMyLWFhMTEtMTVmNGRkY2ZhYmEzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,294,tt0112916,movie,N/A,N/A,N/A,N/A,tt0112916
Heavy,1995,R,05 Jun 1996,105 min,"Drama, Romance",James Mangold,James Mangold,"Pruitt Taylor Vince, Liv Tyler, Shelley Winters","The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BOWFjMDczOGUtNzIyOC00OWYzLWFlYmEtZDFjYTkwZTAwMTI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.7,"6,060",tt0113280,movie,N/A,"$941,414",N/A,N/A,tt0113280
Johnny Mnemonic,1995,R,26 May 1995,96 min,"Action, Drama, Sci-Fi",Robert Longo,William Gibson,"Keanu Reeves, Dolph Lundgren, Dina Meyer","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","English, Japanese","Canada, United States",2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZGFjNWVhMzktZjJkZi00NWI3LWJiY2MtMTM1MGMxYzI0NmFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.6,"79,282",tt0113481,movie,N/A,"$19,075,720",N/A,N/A,tt0113481
The Net,1995,PG-13,28 Jul 1995,114 min,"Action, Crime, Drama",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller","When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.","English, Spanish",United States,2 wins total,https://m.media-amazon.com/images/M/MV5BMDNhMjgxODUtMWRjOS00N2JlLWEyYWEtOWJhNWQ1MTdmYTllXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.0,"77,927",tt0113957,movie,N/A,"$50,727,965",N/A,N/A,tt0113957
Oh Darling Yeh Hai India,1995,N/A,11 Aug 1995,160 min,Comedy,Ketan Mehta,"Parvati Balagopalan, Ketan Mehta, Deepa Sahi","Shah Rukh Khan, Deepa Sahi, Jaaved Jaaferi",Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMDg1YzE2NDYtNjJjZC00YjFjLTkzZjEtYzFjOTFkODNiNjg0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,"1,965",tt0114031,movie,N/A,N/A,N/A,N/A,tt0114031
The Quick and the Dead,1995,R,10 Feb 1995,108 min,"Action, Drama, Romance",Sam Raimi,Simon Moore,"Sharon Stone, Gene Hackman, Russell Crowe","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","English, Spanish","United States, Japan",1 nomination total,https://m.media-amazon.com/images/M/MV5BZGRlZTJmNTEtMzE3Yi00YTAwLWIyMjgtODU4NTExNjFmOTQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.5,"110,771",tt0114214,movie,N/A,"$18,636,537",N/A,N/A,tt0114214
Ram Jaane,1995,Not Rated,01 Dec 1995,122 min,"Action, Crime, Drama",Rajiv Mehra,Vinay Shukla,"Shah Rukh Khan, Juhi Chawla, Vivek Mushran","A social worker tries diligently to steer a group of wayward street urchins on the right path. But his childhood friend, now a fearless gangster, plans to bring the children into his fold.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTc1MDkzODk2Nl5BMl5BanBnXkFtZTcwNjA2ODgzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"4,477",tt0114231,movie,N/A,N/A,N/A,N/A,tt0114231
Chronicle of a Disappearance,1996,N/A,08 Apr 1998,88 min,Drama,Elia Suleiman,Elia Suleiman,"Elia Suleiman, Nazira Suleiman, Fuad Suleiman",A Palestinian expatriate filmmaker (Elia Suleiman) documents the loss of national identity in Israel's Arab population.,"Arabic, Hebrew, French, English","Occupied Palestinian Territory, Israel, France",6 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYWFlY2RiYjctYzlmZC00ZjFmLWE5NGQtMzJiOTk1ODA3ZWNkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,6.9,866,tt0115895,movie,N/A,N/A,N/A,N/A,tt0115895
Happy Gilmore,1996,PG-13,16 Feb 1996,92 min,"Comedy, Sport",Dennis Dugan,"Tim Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Julie Bowen","After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMzMyZTM1MTMtNDdjOS00NzIzLTkxY2QtZTU4OGYxOTUwNDMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,7.0,"293,294",tt0116483,movie,N/A,"$39,041,354",N/A,N/A,tt0116483
The Mirror Has Two Faces,1996,PG-13,15 Nov 1996,126 min,"Comedy, Drama, Romance",Barbra Streisand,"André Cayatte, Gérard Oury, Richard LaGravenese","Barbra Streisand, Jeff Bridges, Lauren Bacall","A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",English,United States,Nominated for 2 Oscars. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZTc3ZmJkYTUtZGQwOC00NWNkLWE4YjEtZDZiOGZmN2I0NzIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}]",N/A,6.6,"24,523",tt0117057,movie,N/A,"$41,083,864",N/A,N/A,tt0117057
Anaconda,1997,PG-13,11 Apr 1997,89 min,"Action, Adventure, Horror",Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.","Jon Voight, Jennifer Lopez, Eric Stoltz","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",English,"United States, Brazil",6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMmU2ZGYyZDAtZGM3My00NjQ4LTlmZmQtNzY4OGRlNDFjNTE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,4.9,"119,277",tt0118615,movie,N/A,"$65,885,767",N/A,N/A,tt0118615
The Devil's Advocate,1997,R,17 Oct 1997,144 min,"Drama, Fantasy, Mystery",Taylor Hackford,"Andrew Neiderman, Jonathan Lemkin, Tony Gilroy","Keanu Reeves, Al Pacino, Charlize Theron",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,"English, German, Italian, Mandarin, Spanish",United States,2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNGIxZmU2ZjEtYjc3OC00Y2FiLWE2ZTQtZGI3NzE0YmRhOTMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.5,"434,796",tt0118971,movie,N/A,"$60,944,660",N/A,N/A,tt0118971
Donnie Brasco,1997,R,28 Feb 1997,127 min,"Biography, Crime, Drama",Mike Newell,"Joseph D. Pistone, Richard Woodley, Paul Attanasio","Al Pacino, Johnny Depp, Michael Madsen",An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,"English, Italian, Japanese",United States,Nominated for 1 Oscar. 2 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZWZkNDA2YTctZWJhZS00OTAzLThlODMtY2QyMzg1MTEwYjU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.7,"348,793",tt0119008,movie,N/A,"$41,909,762",N/A,N/A,tt0119008
Double Team,1997,R,04 Apr 1997,93 min,"Action, Comedy, Sci-Fi",Hark Tsui,"Don Jakoby, Paul Mones","Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke",An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.,"English, Italian","United States, Hong Kong",4 wins total,https://m.media-amazon.com/images/M/MV5BZDhiNmU0OWMtN2I3YS00MWU3LWI4YTktMjQxMzJhYjQzMDRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,4.8,"38,285",tt0119013,movie,N/A,"$11,438,337",N/A,N/A,tt0119013
Gattaca,1997,PG-13,24 Oct 1997,106 min,"Drama, Sci-Fi, Thriller",Andrew Niccol,Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law","Vincent, an ""In-Valid,"" assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.","English, Esperanto",United States,Nominated for 1 Oscar. 6 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjQxNTc3YzQtZDA5ZC00MmM5LWE3NGYtMGE0Yjk3MDYwODVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.7,"340,263",tt0119177,movie,N/A,"$12,532,777",N/A,N/A,tt0119177
I Know What You Did Last Summer,1997,R,17 Oct 1997,101 min,"Horror, Mystery",Jim Gillespie,"Kevin Williamson, Lois Duncan","Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche",Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,English,United States,4 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BOGE1MmMxZDMtYzkyYS00N2EzLTgxYWItNWZiN2NmMzZiZTNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,5.8,"175,287",tt0119345,movie,N/A,"$72,586,134",N/A,N/A,tt0119345
Destiny,1997,N/A,16 Oct 1998,135 min,"Comedy, Drama, History",Youssef Chahine,"Youssef Chahine, Khaled Youssef","Nour El-Sherif, Layla Olwi, Mahmoud Hemida","The story is set in the 12th century in Arab-ruled Spanish province Andalusia, where famed philosopher Averroes is appointed grand judge by the caliph and his liberal court judgments are not liked by everyone. The caliph's politic...","Arabic, French","France, Egypt",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ1ODBlMjUtYmQ5YS00MTE2LWFiZDktOWMwZWU0OTRiNjIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"3,263",tt0119629,movie,N/A,N/A,N/A,N/A,tt0119629
Seven Years in Tibet,1997,PG-13,10 Oct 1997,136 min,"Adventure, Biography, Drama",Jean-Jacques Annaud,"Heinrich Harrer, Becky Johnston","Brad Pitt, David Thewlis, BD Wong","Heinrich Harrer, an Austrian climber and Nazi supporter, breaks out of a British POW camp in India and treks to the holy city of Lhasa where he's employed as an instructor to the young 14th Dalai Lama and soon becomes his close co...","English, German, Mandarin, Tibetan, Hindi",United States,3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTE3NGU1ZDAtN2Y2MC00Y2VkLThjMDUtMTQxMWVmYTY2ZmU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.1,"164,208",tt0120102,movie,N/A,"$37,957,682",N/A,N/A,tt0120102
Spawn,1997,PG-13,01 Aug 1997,96 min,"Action, Crime, Drama",Mark A.Z. Dippé,"Todd McFarlane, Alan B. McElroy, Mark A.Z. Dippé","Michael Jai White, John Leguizamo, Martin Sheen","An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BODhmNzA4ZjEtMTE2YS00ZTY2LThlMjEtZTdiZTM2NmY4MDJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.2,"74,931",tt0120177,movie,N/A,"$54,870,175",N/A,N/A,tt0120177
Starship Troopers,1997,R,07 Nov 1997,129 min,"Action, Adventure, Sci-Fi",Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein","Casper Van Dien, Denise Richards, Dina Meyer","Humans, in a fascist militaristic future, wage war with giant alien bugs.",English,United States,Nominated for 1 Oscar. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZTNiOGM1ZWUtZTZjZC00OWJmLWE2YzUtZjQ4ODZjZmVlMDU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.3,"340,192",tt0120201,movie,N/A,"$54,814,377",N/A,N/A,tt0120201
