Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
Tokio 2020: Generalprobe für das Reich der Alten,2020,N/A,21 Jul 2020,53 min,Documentary,Susanne Steffen,Susanne Steffen,N/A,N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNWViY2IxNjgtYzU0ZC00NjQ5LWFhMjktZGJjYWVjYzhkNWNkXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12747680,movie,N/A,N/A,N/A,N/A
Electra Complex 2020,2020,N/A,13 Mar 2020,15 min,"Short, Drama",Prakash Saini,N/A,"Pretty Aggarwwal, Aditya Saini","Aakrati' who is currently going through a lot in her life in terms with her studies, her relationship and life all together, finds herself in a situation that will question all her life choices and beliefs",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMmZhNjczMDctYTU5Ny00NDM4LTgxODktMTVjZDRiOTM5MzdkXkEyXkFqcGdeQXVyOTg1ODIzMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12715108,movie,N/A,N/A,N/A,N/A
Five Points Jazz Virtual Festival 2020,2020,N/A,16 May 2020,117 min,History,N/A,N/A,Anthony Kapfer,N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAwODY5M2EtYzVmYy00MjIxLWJjMmMtOWVhNDNhOTg1NTA4XkEyXkFqcGdeQXVyMjgxMjkyOTc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12717802,movie,N/A,N/A,N/A,N/A
Coquitlam Celebrates Canada Day at Home 2020,2020,N/A,01 Jul 2020,N/A,Family,Adam Kennedy,Michael Toay,N/A,"Get out your red and white attire, hang your Canadian flag and celebrate with your family at home on Wednesday, July 1 as Coquitlam presents its annual Canada Day celebrations online with ...",English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt12724886,movie,N/A,N/A,N/A,N/A
Erostrate 2020 Ou L'impact Des Réseaux Sociaux,2020,N/A,N/A,N/A,Short,Laura Léda,N/A,"Louise Delécaut, Axelle Grimmer, Mira Moor",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt12727280,movie,N/A,N/A,N/A,N/A
Me Through the Years (2010-2020),2020,N/A,17 Jul 2020,6 min,Short,N/A,N/A,"Lil Nicki, Julian Finch, Adele Sturgeon",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12727400,movie,N/A,N/A,N/A,N/A
NJPW the New Beginning in Osaka 2020,2020,N/A,09 Feb 2020,N/A,Sport,N/A,N/A,"Tetsuya Naito, Jonathan Good, Minoru Suzuki",N/A,Japanese,Japan,N/A,N/A,[],N/A,N/A,N/A,tt12731970,movie,N/A,N/A,N/A,N/A
Eurovision Song Celebration 2020,2020,N/A,12 May 2020,92 min,Music,Stijn Smulders,N/A,Janouk Kelderman,"To honour the 41 participating songs of the cancelled Eurovision Song Contest 2020, the Eurovision Song Celebration was launched.",English,Switzerland,N/A,N/A,[],N/A,N/A,N/A,tt12736310,movie,N/A,N/A,N/A,N/A
2020 Mercedes-Benz V-Class mid-life facelift review,2020,N/A,11 May 2020,5 min,Short,Paul Gibson,Paul Gibson,Paul Gibson,N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODZkNGU3ZTUtYzQ2My00NzU4LWE5ZTQtNTUxNzNhZmVhZTM0XkEyXkFqcGdeQXVyODc0MjExNjg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12736392,movie,N/A,N/A,N/A,N/A
DFB Pokal Final 2020,2020,N/A,04 Jul 2020,97 min,Sport,Peter Bosz,N/A,"Kingsley Coman, Ivan Perisic",N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNzllMTg2ZTctMTZjMi00ZGM5LWE4NzctZGIwM2YxZmU3MTgyXkEyXkFqcGdeQXVyMTA0NTY0NTYy._V1_SX300.jpg,[],N/A,N/A,N/A,tt12650058,movie,N/A,N/A,N/A,N/A
Canada Day 2020 at Your House,2020,N/A,01 Jul 2020,N/A,N/A,N/A,N/A,"Cole Andrew, Derek Armstrong, Stephen Armstrong, Dan Aykroyd",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWVhYzEwZmMtNjZkOC00YzFmLWIyMDEtNTk5NWJjMmYzNzMyXkEyXkFqcGdeQXVyMjExMTI5MzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12662166,movie,N/A,N/A,N/A,N/A
Priay en juin (Carnet Filmé: 24 juin 2020),2020,N/A,29 Jun 2020,74 min,Documentary,Gérard Courant,Gérard Courant,Les Habitants de Priay,N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12671930,movie,N/A,N/A,N/A,N/A
2020 NYC Pride March,2020,N/A,28 Jun 2020,120 min,Music,Scott Levine,Jenny Slater,N/A,"The 2020 NYC Pride March celebrates the 50th anniversary of the first Pride March held in 1970, and though it will be a very different type of celebration, the tradition of commemorating the LGBTQIA+ movement will continue. In this u",English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12674156,movie,N/A,N/A,N/A,N/A
A Black Woman Speaks 2020,2020,N/A,19 Jun 2020,N/A,"Short, Drama",Chelsea Woods,N/A,April Grace,"This powerful piece written by Beah Elizabeth Richardson, and performed by April Grace, takes an Afrofuturistic dive deep into the complex and often brutal relationship between Black women and white womanhood. Though Richards' poem w",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzAwNGYwMmMtMTZkNS00ZTU1LTg3MmYtMWM0OTk3ODRkM2QyXkEyXkFqcGdeQXVyNjczMjcwODI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12623554,movie,N/A,N/A,N/A,N/A
Covid 2020,2020,N/A,24 May 2020,N/A,"Short, Thriller",Scott Murphy Scottyg,Scott Murphy Scottyg,"Julie Rogers, Crystal Sanford, Scott Murphy Scottyg","The world has just been infested by a virus and there was no warning on how bad it was going to get. Just speaking its name is taboo, but what happens when it's time to face the reality? Will mankind overcome the deadly invader or...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTcxM2NkNDktZmZkYi00NjFkLWEzNDMtZTJkZWY4YWRmNmY0XkEyXkFqcGdeQXVyOTA3Mjg2MzA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12631508,movie,N/A,N/A,N/A,N/A
Suicide Silence Virtual Tour 2020,2020,N/A,03 Jul 2020,90 min,Music,N/A,N/A,"Chris Garza, Hernan Hermida, Mark Heylmun, Dan Kenny","""Suicide Silence announces Virtual World Tour with unique sets, exclusive merchandise, and custom experiences in each market. Each show will feature a professionally filmed multi-camera ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12637464,movie,N/A,N/A,N/A,N/A
Styremøte i Helse Nord RHF 25. juni 2020,2020,N/A,24 Jun 2020,334 min,Talk-Show,N/A,N/A,"Renate Larsen, Hilde Rolandsen, Cecilie Daar, Kari Baadstrand Sandnes",N/A,Norwegian,Norway,N/A,N/A,[],N/A,N/A,N/A,tt12638032,movie,N/A,N/A,N/A,N/A
Gullruten 2020,2020,N/A,19 Jun 2020,N/A,Documentary,N/A,N/A,"Sigrid Bonde Tusvik, Morten Hegseth, Jon Almaas, Ingrid Bolsø Berdal",The 23th annual award show for Norwegian Television.,Norwegian,Norway,N/A,https://m.media-amazon.com/images/M/MV5BNjBkNjUzMDYtYzkyZS00YzUzLWE3YmQtZjZkMmQwYjY5NWQ2XkEyXkFqcGdeQXVyMzkyNTYxMjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12551102,movie,N/A,N/A,N/A,N/A
Best of BBC Radio 1's Big Weekend 2020,2020,N/A,24 May 2020,72 min,Music,N/A,N/A,"Aitch, Anne-Marie, Blossoms","A compilation of 20 songs from 20 artists that were originally scheduled for Radio 1's Big Weekend in 2020. Essentially a 'sizzle reel' of songs, advertising the full sets from the artists on YouTube, this is a feel good taste of wha",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNTQ4YmZmMzctNjE5YS00MWQwLWI2ZmQtNTNjYjcyZjRjNGFhXkEyXkFqcGdeQXVyNjg2MTI5MzQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12551944,movie,N/A,N/A,N/A,N/A
Still We Rise Life in 2020,2021,N/A,09 Apr 2021,45 min,Documentary,Jermaine Taishi Thomas,N/A,N/A,"From Covid-19 to Black Lives Matter, we as a nation struggle to heal as we get use social distancing, wearing masks, racial and social unrest.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWY1Mjc0NzEtZDhjNi00NmE1LWI4N2MtZTkxOWNmZWMyMDAyXkEyXkFqcGdeQXVyNDcyMjI2NTc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12557440,movie,N/A,N/A,N/A,N/A
Celebrate Israel Virtual Parade 2020,2020,N/A,21 Jun 2020,73 min,Family,"Annette Jolles, David Stern","Laurence Holzman, Annette Jolles","David Broza, Neshama Carlebach, Kosha Dillz, Michelle Divon",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12557506,movie,N/A,N/A,N/A,N/A
Åge Aleksandersen og Sambandet- Konsert 2020,2020,N/A,21 May 2020,N/A,Music,Bjørn Alexander,N/A,"Åge Aleksandersen, Gunnar Pedersen, Skjalg Raaen, Jens Petter Antonsen",N/A,Norwegian,Norway,N/A,https://m.media-amazon.com/images/M/MV5BNjAyNGQ4ODctOTMxMy00MjAwLWIzMWEtNDc3ZDg5OTU2ZWVmXkEyXkFqcGdeQXVyMTE2NDAxODc1._V1_SX300.jpg,[],N/A,N/A,N/A,tt12563726,movie,N/A,N/A,N/A,N/A
Miss Texas USA 2020),2019,N/A,31 Aug 2019,N/A,Reality-TV,N/A,N/A,"Taylor Kessler, Lilly Talavera",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12564218,movie,N/A,N/A,N/A,N/A
The 2020 Roger Rees Awards,2020,N/A,01 Jun 2020,90 min,N/A,Cody Williams,N/A,"Cassidy Baltazar, Christian Borle, Kerry Butler, Kristin Chenoweth","Despite COVID-19 shutting down schools the Roger Rees Awards, greater NYC's chapter of the National High School Musical Theater Awards, held their 2020 celebration of excellence in student ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjY0ODU4NjUtYjkwNy00OWViLTg0MzItYTAxYWY5ZDVhM2RkXkEyXkFqcGdeQXVyNTk5ODE0MzU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12566106,movie,N/A,N/A,N/A,N/A
Boy from Oz - 2020 Reunion,2020,N/A,18 Jun 2020,N/A,"Short, Musical",Kaye Tuckerman,N/A,"Todd McKenney, Murray Bartlett, Rohan Browne",N/A,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BZTc3YTM2ZTUtNTE0YS00MmM3LWFiYTctZmJlNzZlNGY1OTI1XkEyXkFqcGdeQXVyNDAxOTU5ODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12572482,movie,N/A,N/A,N/A,N/A
Kan' to n' akoustei 2020: Teleti vravefsis,2020,N/A,20 Jun 2020,N/A,Music,Tilemahos Koemtzopoulos,N/A,"Elsa Poimenidou, Haris Arvanitidis, Giorgos Dimitriadis, Manolis Famelos",N/A,Greek,Greece,N/A,N/A,[],N/A,N/A,N/A,tt12573560,movie,N/A,N/A,N/A,N/A
Wine Tasting 2020,2020,N/A,13 May 2020,N/A,"Short, Comedy",Alice Frick,Alice Frick,Alice Frick,N/A,English,Austria,N/A,N/A,[],N/A,N/A,N/A,tt12585094,movie,N/A,N/A,N/A,N/A
W. Moore New York Political Candidate 2020,2020,N/A,20 Jun 2020,3 min,"Short, News",Jimmy Spice Curry,William Russell Moore,"Jimmy Spice Curry, William Russell Moore",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12592700,movie,N/A,N/A,N/A,N/A
Black - Live at the BRITs 2020,2020,N/A,18 Feb 2020,5 min,"Short, Music",N/A,David Omoregie,"David Omoregie, Jack Merritt, Fraser T. Smith","The chilling, inspiring, live performance of Dave's masterwork track - 'Black' - live from the 40th anniversary of the Brits sees the Streatham superstar take aim at all injustice in society, truly using his platform for good and for",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMDhhZjE4NTItN2E0ZS00MjU4LTg5MTEtMmI0ZWJjZWRlZmJhXkEyXkFqcGdeQXVyNjg2MTI5MzQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12604738,movie,N/A,N/A,N/A,N/A
East Village 2020,2020,N/A,N/A,9 min,"Short, Drama",Armand Ruhlman,Armand Ruhlman,"Marcy J. Gordon, David Rodgers",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12617570,movie,N/A,N/A,N/A,N/A
East Village 2020 - Life in Lockdown,2020,N/A,N/A,5 min,"Short, Drama",Armand Ruhlman,Armand Ruhlman,David Rodgers,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12617710,movie,N/A,N/A,N/A,N/A
FA Community Shield 2020,2020,N/A,29 Aug 2020,104 min,Sport,Mikel Arteta,N/A,N/A,N/A,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjVkM2NiM2UtM2ZjYy00YjRkLWFmYzAtMDBjZGZmYTFjYjY2XkEyXkFqcGdeQXVyMTA0NTY0NTYy._V1_SX300.jpg,[],N/A,N/A,N/A,tt12998562,movie,N/A,N/A,N/A,N/A
3BHK Movie 2020,2020,N/A,N/A,N/A,"Comedy, Drama, Romance","Ramarao Allamraju, PavanKumaraam Peesapati",N/A,"Raja Ravindra, Gururaj Manepalli, Majjari Sravani","For every individual,HOME plays a vital role in their LIFE as home has a strength to hold lots of emotions, relations, confusions, fun and memories.Our story runs in a 3BHK flat around three main characters namely Balu, Hasini and...",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BMjU5ZWYxNzItNDAxOC00ZWIwLWJlYzEtNWM5N2IyNzI1ZWZjXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12961746,movie,N/A,N/A,N/A,N/A
Una voce per Padre Pio 2020 - 21a edizione,2020,N/A,11 Jul 2020,N/A,Music,N/A,N/A,"Flavio Insinna, Nino Frassica, Nathalie Guettà","A great cast of singers, artists, celebrities, and guests participates in the major Rai Uno television program ""Una Voce per Padre Pio, 2020 Edition"", for the first time in its history not broadcast live from Pietrelcina, Italy, t...",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BOGFiY2IwZGUtOTI0Ni00NmNiLWJjZTEtMDNmYzE0MGViZjYwXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12968752,movie,N/A,N/A,N/A,N/A
Andre Rieu's 2020 Maastricht Concert: Happy Together,2020,N/A,20 Aug 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt12844200,movie,N/A,N/A,N/A,N/A
Les Cinématons et autres portraits filmés chez Anne Teyssèdre (Carnet filmé: 14 juillet 2020),2020,N/A,N/A,31 min,"Documentary, Short",Gérard Courant,Gérard Courant,"Gérard Courant, Garance Diamy, Alain Paucard",N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12845708,movie,N/A,N/A,N/A,N/A
Space Shower Music Awards 2020,2020,N/A,15 Mar 2020,N/A,Music,N/A,N/A,"Takumi Fujita, Tomoyasu Hotei, Kenshi Yonezu",N/A,Japanese,Japan,N/A,N/A,[],N/A,N/A,N/A,tt12849942,movie,N/A,N/A,N/A,N/A
The eZWay Awards 2020,2020,Approved,30 Aug 2020,120 min,Talk-Show,"Samuel Morris, Eric Zuley","Samuel Morris, Eric Zuley","2 Live Crew, Manuj Aggarwal, Gilbert Dean Arcillas",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGE2Yjg5NmEtMmY2Mi00OTcxLWE2OTktYmM2ODFmN2YwMjY0XkEyXkFqcGdeQXVyODE4MDgxODI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12856150,movie,N/A,N/A,N/A,N/A
Amandafesten 2020,2020,N/A,14 Aug 2020,150 min,N/A,N/A,N/A,"Selome Emnetu, Bente Erichsen, Thorbjørn Harr, Marte Hedenstad",The 36. annual Amanda award ceremony for Norwegian Film.,Norwegian,Norway,N/A,https://m.media-amazon.com/images/M/MV5BMmRiZjA3MGQtNDRjNS00ZTI4LThkNDgtMjVkYjU2N2I1YTJjXkEyXkFqcGdeQXVyMzkyNTYxMjE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12872732,movie,N/A,N/A,N/A,N/A
2020 Daydreams,2020,N/A,N/A,42 min,"Animation, Short",Jenia Meng,Jenia Meng,N/A,N/A,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BOWNmM2FlOTMtZDRhZC00MDBmLTlmM2QtYTQ4Y2ViZWM4Y2U2XkEyXkFqcGdeQXVyMjg4MDc0ODU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12874262,movie,N/A,N/A,N/A,N/A
Grafenegg Festival 2020: Wir spielen für Österreich - Jonas Kaufmann singt 'Die schöne Müllerin',2020,N/A,16 Aug 2020,85 min,Music,Dick Kuijs,N/A,"Jonas Kaufmann, Helmut Deutsch, Barbara Rett",N/A,German,Austria,N/A,N/A,[],N/A,N/A,N/A,tt12913708,movie,N/A,N/A,N/A,N/A
Toei Manga Matsuri 2020,2020,N/A,14 Aug 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BN2NkZDIxNmQtZWVlYi00MjQ0LTg3MzAtZjA5NTA2NjU5YzFiXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12923796,movie,N/A,N/A,N/A,N/A
Sonic the Hedgehog (2020),2020,N/A,13 Jun 2020,N/A,"Comedy, Talk-Show","Sol Harris, Allen Turing","Sol Harris, Allen Turing","Sol Harris, Allen Turing",Gotta go incredibly slowly if you're talking about Allen's attitude towards getting round to seeing the Sonic the Hedgehog movie.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMjNlNmI2ZjEtY2MwMS00NjdmLWJkYzAtMGFhYzdiNTY1MTVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,N/A,N/A,tt12930696,movie,N/A,N/A,N/A,N/A
ABC News 2020 Democratic National Convention,2020,N/A,17 Aug 2020,N/A,News,Jeff Winn,N/A,"Linsey Davis, David Muir, George Stephanopoulos",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIxMGEwZmQtMDU4ZS00YzU1LTllMmQtN2RmN2VhMGE0OTBmXkEyXkFqcGdeQXVyOTQ2OTgzOQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12938500,movie,N/A,N/A,N/A,N/A
Crop Circle Chronicles - Messages in 2020 Crop Cirlces,2020,N/A,12 Aug 2020,N/A,Documentary,Shihyun Wang,Shihyun Wang,Ken Peters,N/A,English,USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNDc5NmI3YjctZWY4OS00OTlmLThmNDYtZWE3ZWE3ODY1Yjg5XkEyXkFqcGdeQXVyNjkyNzY0ODI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12943586,movie,N/A,N/A,N/A,N/A
Europa League Final 2020,2020,N/A,21 Aug 2020,97 min,Reality-TV,N/A,N/A,N/A,N/A,English,Germany,N/A,https://m.media-amazon.com/images/M/MV5BZDg3NmRmNTQtN2U5Yy00YTNkLThiMjktYjE2NGI5MGYxYzk3XkEyXkFqcGdeQXVyMTA0NTY0NTYy._V1_SX300.jpg,[],N/A,N/A,N/A,tt12944024,movie,N/A,N/A,N/A,N/A
Tokyo 2020 Olympic Opening Ceremony,2021,N/A,23 Jul 2021,240 min,"Sport, Music",Mansai Nomura,N/A,N/A,"The 2020 Summer Olympics opening ceremony is scheduled to take place on 23 July 2021 at Olympic Stadium, Tokyo.","English, Japanese",Japan,N/A,N/A,[],N/A,N/A,N/A,tt12763846,movie,N/A,N/A,N/A,N/A
Tokyo 2020 Olympic Closing Ceremony,2021,N/A,08 Aug 2021,240 min,"Sport, Musical",Mansai Nomura,N/A,N/A,N/A,"Japanese, English",Japan,N/A,N/A,[],N/A,N/A,N/A,tt12764056,movie,N/A,N/A,N/A,N/A
"Ici, Paris (Carnet filmé: 11 juillet 2020)",2020,N/A,N/A,31 min,"Documentary, Short",Gérard Courant,Gérard Courant,Les Habitants de Paris,N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12765030,movie,N/A,N/A,N/A,N/A
Paris-sous-Bois (Carnet filmé: 12 juillet 2020),2020,N/A,N/A,36 min,"Documentary, Short",Gérard Courant,Gérard Courant,Les Habitants de Paris,N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12765082,movie,N/A,N/A,N/A,N/A
C'est Paris (Carnet filmé: 13 juillet 2020),2020,N/A,N/A,39 min,"Documentary, Short",Gérard Courant,Gérard Courant,"Les Habitants de Paris, Les Habitants de Vincennes",N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12765140,movie,N/A,N/A,N/A,N/A
Le Soleil de Paris (Carnet filmé: 18 juillet 2020),2020,N/A,N/A,31 min,"Short, Documentary",Gérard Courant,Gérard Courant,Les Habitants de Paris,N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt12765226,movie,N/A,N/A,N/A,N/A
Online Dating 2020 and Beyond: An Exercise in Futility,2020,N/A,14 Jun 2020,110 min,Documentary,First,First,"First, Aaron Clarey, Roger Devlin","First discusses the online dating phenomenon that has been dominating the modern dating scene, compiled with footage from figures in the incelosphere and in academia.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTFjODJkYTctYmU1YS00NGM4LWIwNjgtYmZkNzU4Nzg5NjA2XkEyXkFqcGdeQXVyMTA2NDI0NDM0._V1_SX300.jpg,[],N/A,N/A,N/A,tt12768190,movie,N/A,N/A,N/A,N/A
The Year is 2020,2019,N/A,10 May 2019,4 min,"Short, Documentary","James L. Brown, Bill Irving",Bill Irving,"Deana Adamopoulos, Taj Aldeeb, Jason Browning","The Year Is 2020 is a 4-minute film project by James L Brown ACS and Bill Irving, based on Brisbane writer Anisa Nandaula's poem of the same name. It is an uncompromising call-out of the fear and racism that informs Australia's refug",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BMmNhNGFhZjYtMGM0ZS00MTUxLWFlYTItY2I0OTI1OGViOWZjXkEyXkFqcGdeQXVyNjEwMjM2MQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12774256,movie,N/A,N/A,N/A,N/A
Bash 2020,2020,Not Rated,11 Jun 2020,1 min,"Short, Thriller",Jermaine Nix,Jermaine Nix,Adam Greene,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12779116,movie,N/A,N/A,N/A,N/A
AKO Caine Prize 2020: Writing Africa,2020,N/A,27 Jul 2020,N/A,Short,Joseph A. Adesunloye,Dele Meiji Fatunla,Chipo Chung,N/A,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMGNlMzhlNGQtMzE4Zi00M2ViLThhYjAtNWM4Y2RiNjAxZGNhXkEyXkFqcGdeQXVyMTkxMTI3MTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12789044,movie,N/A,N/A,N/A,N/A
E! Live from the Red Carpet: The 2020 Academy Awards,2020,N/A,09 Feb 2020,N/A,News,Joe DeMaio,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12803758,movie,N/A,N/A,N/A,N/A
Daan (Marathi - 2020),2020,N/A,20 Dec 2020,119 min,Drama,Viccky Kamlesh,"Viccky Kamlesh, Vaibhav Mavle (dialogue writer)","Pravin Asthana, Mukesh Chankya, Mukesh Chauhan, Prajakta Kasheed","Daan is an emotional story set up in the city of Osmanabad in Maharashtra. Shiv Shankar, a daily wager is a building painter. His wife Nagmani, daughters Vaishali, Gauri, Radha and son ...",Marathi,India,N/A,https://m.media-amazon.com/images/M/MV5BN2Q0ODg5YTItODU4Zi00MGJmLWEyMzgtODRmOTdjMDQ0YzJkXkEyXkFqcGdeQXVyMTA3NTEyNzEz._V1_SX300.jpg,[],N/A,N/A,N/A,tt12805548,movie,N/A,N/A,N/A,N/A
2020: End of the world?,2020,N/A,N/A,N/A,"Short, Drama",Dushyant Kapoor,Prashant Raj,"Dushyant Kapoor, Ankit Vatsa",N/A,N/A,India,N/A,https://m.media-amazon.com/images/M/MV5BODg2MWJmZGMtM2E3ZC00MjQwLWIwNDUtYTk1MDI1N2YxZjk4XkEyXkFqcGdeQXVyNTg3NTE1Mjc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12806440,movie,N/A,N/A,N/A,N/A
2020 Los Angeles Area Emmys,2020,N/A,18 Jul 2020,75 min,News,Richard A. Preuss,N/A,"Pat Harvey, Christian Lanz",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjhjOGM5OTUtNjE2OC00OTAzLWI3ZTItOGI1ODRmZjNjNTcxXkEyXkFqcGdeQXVyMTA0NTc3NDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12810050,movie,N/A,N/A,N/A,N/A
The FA Cup Final 2020,2020,N/A,01 Aug 2020,109 min,Sport,N/A,N/A,N/A,N/A,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BYjZlOWU1ZDYtYWQ4NC00MzkwLWEzOWEtYzAzOTgyYmZkZTFlXkEyXkFqcGdeQXVyMTA0NTY0NTYy._V1_SX300.jpg,[],N/A,N/A,N/A,tt12816430,movie,N/A,N/A,N/A,N/A
Untitled 2020,2020,N/A,N/A,N/A,Horror,Shriramchandra Chauhan,Shriramchandra Chauhan,"Divya Chaudhry, Dhanraj Chauhan, Pooja Chauhan",Seven friends go to abandoned village where one of them comes to know about the forest. When returning to home one by one gets killed by some unknown element.the whole things get discovered from the footages from camera which is f...,Gujarati,India,N/A,https://m.media-amazon.com/images/M/MV5BNTExMjhhMTQtNGE5My00OTZiLWFhZjctMzkzOWNiYzFiNmM4XkEyXkFqcGdeQXVyMTE4NjQ4MDI2._V1_SX300.jpg,[],N/A,N/A,N/A,tt12827434,movie,N/A,N/A,N/A,N/A
E! Live from the Red Carpet: The 2020 Golden Globes,2020,N/A,05 Jan 2020,N/A,News,Joe DeMaio,N/A,N/A,N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt12828702,movie,N/A,N/A,N/A,N/A
E! Live from the Red Carpet: The 2020 Grammy Awards,2020,N/A,26 Jan 2020,N/A,News,Joe DeMaio,N/A,Boomer Mays,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12828752,movie,N/A,N/A,N/A,N/A
Suppressed 2020: The Fight to Vote,2020,N/A,05 Aug 2020,39 min,"Documentary, Short",Robert Greenwald,N/A,"Stacey Abrams, Carol Anderson, Norman Broderick","An updated release of the 2019 film ""Suppressed: The Fight to Vote"". There is a new introduction and about 2 minutes of additional footage at the end illustrating voter suppression in the lead up to the 2020 election.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2M5MzNjMjItMzIyMi00Mzg5LWFlYzAtODQ4YTliYWYxYzY5XkEyXkFqcGdeQXVyMTA1NDc3NzI@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12835946,movie,N/A,N/A,N/A,N/A
Romeo & Juliet: Louisville 2020,2021,N/A,01 Feb 2021,N/A,Drama,Robert Barry Fleming,"William Shakespeare, Amy Wegener (adaptation)","Chris Henry Coffey, Avery Deutsch, Isiah Fish, Devin E. Haqq",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt13372196,movie,N/A,N/A,N/A,N/A
